charity_id,name,phone_number,amount,charity_category_id
1,UNICEF,(224)367-3570x25872,2623.37,2
2,Resala Association,+1-813-706-0759x3900,123.7,1
3,Ahl Misr Foundation,001-790-681-5424x6343,2739.26,3
4,UNICEF,208.671.1505,4088.44,2
5,Bahia Hasbtl refuted it,(651)399-1763x2366,520.72,2
6,Ahl Misr Foundation,513.894.4768,4533.8,3
7,Egyptian Red Crescent,441.672.8715x289,399.86,3
8,Magdi Yacoub Heart Foundation,+1-695-776-8285x5519,199.74,3
9,Resala Association,713.470.4763,1768.6,1
10,Egyptian Red Crescent,(371)807-6647x37031,2005.08,1
11,500 500,815-556-5264,2248.63,3
12,Magdi Yacoub Heart Foundation,415-902-7568,3025.16,3
13,Bahia Hasbtl refuted it,976.579.1887x3611,1433.15,3
14,Egyptian Red Crescent,649-482-2423x6213,1337.26,1
15,Resala Association,001-972-209-2228x5549,2971.44,2
16,Bahia Hasbtl refuted it,+1-796-843-4343x7751,4829.4,1
17,Magdi Yacoub Heart Foundation,879.781.2493,2832.2,1
18,Egyptian Red Crescent,925.608.4241x88637,230.88,1
19,UNICEF,(845)438-1949,4868.92,2
20,World Wildlife Fund,656.284.0164,3172.23,3
21,World Wildlife Fund,548.453.5704x89156,4243.08,2
22,Egyptian Red Crescent,+1-951-378-0916x813,1258.79,3
23,Bahia Hasbtl refuted it,301.733.9673x492,3209.6,2
24,World Wildlife Fund,556.367.1267x947,3731.08,1
25,Bahia Hasbtl refuted it,+1-757-256-7857,2706.97,3
26,Bahia Hasbtl refuted it,507.920.9427,1695.13,2
27,500 500,797-355-9308,3132.01,3
28,500 500,(780)438-3875x596,3912.39,1
29,Mersal Charitable Foundation,291-706-7530x493,3469.72,2
30,Bahia Hasbtl refuted it,001-416-225-8047x8563,3985.11,1
31,UNICEF,908-813-0077x257,4697.14,1
32,500 500,655-704-6488,3849.97,1
33,Bahia Hasbtl refuted it,(545)778-4594,4927.88,1
34,Bahia Hasbtl refuted it,916.426.5028,1687.32,1
35,Ahl Misr Foundation,001-206-690-2964x34818,2332.19,3
36,World Wildlife Fund,(426)999-1904x5886,3341.29,2
37,Resala Association,949-505-4701x3104,4884.63,1
38,Resala Association,001-937-621-1152x915,339.97,2
39,500 500,(380)863-7562,1418.9,1
40,Bahia Hasbtl refuted it,+1-580-342-0645,2203.88,3
41,500 500,298-683-4587x652,3229.87,3
42,57357 Hospital,946.733.5198,4309.39,1
43,Magdi Yacoub Heart Foundation,5264186233,1206.44,3
44,Magdi Yacoub Heart Foundation,(573)330-1213,1244.6,3
45,Egyptian Red Crescent,001-432-359-7900x89757,2930.27,2
46,UNICEF,814-440-9922x05912,4841.81,1
47,Resala Association,001-557-986-1837,781.76,2
48,Mersal Charitable Foundation,610-594-9941x16809,2805.47,1
49,500 500,(934)742-1868x33353,4937.53,3
50,UNICEF,527.361.7706x35421,4973.47,1
51,500 500,265-598-9035x6480,232.32,3
52,Ahl Misr Foundation,(396)537-7183,2158.03,1
53,World Wildlife Fund,495.999.8177x9060,141.99,2
54,Bahia Hasbtl refuted it,001-926-386-6072x0755,4424.79,3
55,Mersal Charitable Foundation,001-890-933-1996x8783,589.85,3
56,Ahl Misr Foundation,001-788-350-8259x852,1237.34,1
57,Magdi Yacoub Heart Foundation,(847)367-4077,2595.13,1
58,World Wildlife Fund,461-858-9844x6675,1608.06,2
59,Resala Association,715-499-2237,3340.81,1
60,World Wildlife Fund,407-315-3811x96045,3546.21,2
61,Egyptian Red Crescent,450-772-5371x83431,3394.01,3
62,UNICEF,+1-431-589-1682x848,1028.85,3
63,500 500,7982100498,128.38,2
64,Bahia Hasbtl refuted it,+1-421-814-9964x1516,1945.42,3
65,Ahl Misr Foundation,396.612.0641x46075,4160.59,1
66,UNICEF,+1-461-768-9157x3092,2025.63,2
67,Magdi Yacoub Heart Foundation,534.701.1779x438,587.78,3
68,UNICEF,655-647-8947x9923,2341.59,3
69,UNICEF,350-671-8308x90232,4016.31,1
70,Ahl Misr Foundation,(492)666-3941,4955.63,2
71,57357 Hospital,+1-370-435-7997x002,2536.49,2
72,Mersal Charitable Foundation,(560)273-7203x714,2666.98,3
73,57357 Hospital,961.784.4577x0877,3370.2,1
74,World Wildlife Fund,3162379548,3579.21,1
75,Magdi Yacoub Heart Foundation,+1-902-325-4161x5804,344.02,2
76,UNICEF,698-900-3458x1300,1840.15,3
77,Mersal Charitable Foundation,947.371.3387x735,4630.53,1
78,57357 Hospital,562-757-9893,543.27,3
79,Mersal Charitable Foundation,001-825-677-9569,3141.11,3
80,Bahia Hasbtl refuted it,872.607.4078,1799.97,3
81,UNICEF,+1-739-331-9365,3481.5,3
82,Mersal Charitable Foundation,001-779-947-9495x5022,338.89,1
83,500 500,743.299.3490x49975,2588.15,3
84,UNICEF,(872)349-4647,4483.62,2
85,Bahia Hasbtl refuted it,395-310-1450,1047.82,1
86,Bahia Hasbtl refuted it,565-893-2651x201,1426.44,1
87,Resala Association,+1-491-892-5846x18722,3615.36,2
88,Ahl Misr Foundation,001-864-879-2001x6269,4009.45,1
89,Magdi Yacoub Heart Foundation,+1-391-518-3159x155,1687.05,2
90,Resala Association,(301)478-8336x926,1840.67,2
91,57357 Hospital,+1-707-249-8086x927,1115.63,2
92,World Wildlife Fund,809-485-2727,1427.55,3
93,Mersal Charitable Foundation,221.968.8102x23169,2344.41,1
94,Ahl Misr Foundation,+1-456-506-5330x71770,2998.17,3
95,Egyptian Red Crescent,001-469-825-3580x912,3038.53,3
96,57357 Hospital,(833)647-9814x561,1166.23,1
97,Resala Association,476-484-8874,1882.72,1
98,500 500,664.468.4504x401,1266.13,3
99,UNICEF,+1-455-989-8955,2172.84,2
100,57357 Hospital,836-450-0298x42206,930.01,3
101,World Wildlife Fund,001-399-504-8431,1011.83,2
102,Resala Association,229-338-8802,482.41,1
103,Magdi Yacoub Heart Foundation,(784)250-7127x284,1454.94,2
104,Ahl Misr Foundation,399.895.4457x202,3980.78,1
105,World Wildlife Fund,001-620-570-5764x965,980.33,1
106,Magdi Yacoub Heart Foundation,886-589-6502,3598.8,2
107,Ahl Misr Foundation,(579)368-0604x9989,1742.73,2
108,500 500,232-662-9549x091,3172.06,3
109,UNICEF,(251)796-3023x56804,1467.19,3
110,Egyptian Red Crescent,9186217792,3897.43,1
111,Resala Association,7954896965,3624.2,1
112,Ahl Misr Foundation,001-770-374-2051x800,4122.61,2
113,World Wildlife Fund,+1-575-839-9434x72748,4931.38,1
114,Magdi Yacoub Heart Foundation,5516435775,2686.32,1
115,UNICEF,001-765-225-3527,2334.47,3
116,World Wildlife Fund,487-832-6921,2777.7,2
117,Mersal Charitable Foundation,245-481-5443,2010.96,2
118,UNICEF,485.677.1273,2623.95,3
119,UNICEF,001-687-766-4471x8547,1680.48,2
120,57357 Hospital,4267205544,346.07,1
121,500 500,8344051349,4273.97,3
122,Bahia Hasbtl refuted it,225.871.6553,1846.81,2
123,Ahl Misr Foundation,415-465-3276x4288,2800.27,1
124,Ahl Misr Foundation,321-772-8868,422.74,2
125,World Wildlife Fund,2119405303,4412.3,1
126,Ahl Misr Foundation,+1-207-524-3741x459,1236.06,3
127,Magdi Yacoub Heart Foundation,872-800-7757x37299,556.75,1
128,Bahia Hasbtl refuted it,8885850511,4943.78,2
129,500 500,001-737-798-1598x041,3571.58,1
130,500 500,380-510-7343x7136,1576.87,1
131,UNICEF,254.839.5391x98532,4942.38,3
132,UNICEF,001-923-338-2857,4695.76,1
133,Egyptian Red Crescent,238-609-6215x67558,2127.58,1
134,Bahia Hasbtl refuted it,+1-496-766-3875x205,2654.18,1
135,Mersal Charitable Foundation,907.643.1013,4447.07,1
136,UNICEF,+1-387-956-3132x7376,4185.77,1
137,UNICEF,490-687-1821,4938.46,2
138,500 500,(579)541-3498x920,3902.01,1
139,UNICEF,890-618-6505x639,4938.59,3
140,500 500,+1-280-883-5298x4849,3422.58,1
141,Ahl Misr Foundation,001-673-778-3480x8882,2446.35,1
142,Bahia Hasbtl refuted it,457.393.3110x953,2506.02,1
143,Resala Association,(858)296-4166x402,2196.97,1
144,Resala Association,7712423153,4050.9,3
145,Bahia Hasbtl refuted it,+1-814-323-2018,2543.64,1
146,UNICEF,519.445.3702,1885.22,2
147,Mersal Charitable Foundation,(795)424-1441,1643.06,3
148,57357 Hospital,+1-381-642-3709x812,1683.89,2
149,Mersal Charitable Foundation,768-695-8118x5286,2938.85,3
150,World Wildlife Fund,860.856.1122x8541,2982.01,2
151,Bahia Hasbtl refuted it,+1-650-709-2456x610,4884.7,2
152,500 500,(429)312-7336,4428.13,1
153,Egyptian Red Crescent,272-269-2150x88497,3550.03,2
154,Bahia Hasbtl refuted it,(202)785-2568,3711.04,2
155,500 500,920-958-6610x6769,358.76,1
156,UNICEF,+1-596-424-9174x371,2138.44,3
157,Egyptian Red Crescent,(823)418-3847,4694.8,2
158,Resala Association,212-296-6147,4419.68,3
159,World Wildlife Fund,001-915-213-7584x61159,3502.08,3
160,Egyptian Red Crescent,748-895-4106x919,3679.79,3
161,Resala Association,465.721.6459,3186.11,3
162,Egyptian Red Crescent,+1-730-471-2435x28384,3728.86,3
163,Magdi Yacoub Heart Foundation,803-886-0820,756.55,3
164,Mersal Charitable Foundation,(214)265-4750x55442,4583.57,3
165,Mersal Charitable Foundation,883.818.4262x00591,3203.0,3
166,Egyptian Red Crescent,(978)511-5598x80271,4168.24,2
167,World Wildlife Fund,618.298.8301x0125,1210.56,1
168,Egyptian Red Crescent,(353)317-8963x702,2997.98,2
169,Bahia Hasbtl refuted it,774.626.2011x22772,4633.98,1
170,World Wildlife Fund,321-640-5338,3076.62,1
171,Resala Association,001-930-855-7365x35580,3211.62,3
